Date,Open,High,Low,Close,Volume
2025-01-02,513.534,515.871,504.957,509.471,36444028
2025-01-03,512.586,518.872,511.767,517.808,29102838
2025-01-06,523.24,527.134,521.253,523.759,36163561
2025-01-07,524.808,525.207,512.516,514.413,36744965
2025-01-08,514.313,516.15,509.81,514.503,30823656
2025-01-10,510.719,510.819,503.17,506.435,40592915
2025-01-13,500.454,505.267,498.956,504.807,31741455
2025-01-14,507.983,509.396,500.843,504.328,33787528
2025-01-15,512.266,517.079,510.699,515.931,35009664
2025-01-16,518.208,518.287,512.186,512.316,28271117
2025-01-17,522.072,523.293,512.345,520.963,51915214
2025-01-21,523.699,525.187,519.286,524.019,23663192
2025-01-22,528.782,533.025,528.472,530.719,33643064
2025-01-23,528.253,531.967,527.663,531.847,23131017
2025-01-24,532.227,532.995,527.364,528.842,19907883
2025-01-27,510.239,517.219,509.391,513.445,60862285
2025-01-28,514.453,522.222,511.018,521.033,33243695
2025-01-29,521.682,521.812,516.129,520.055,26688736
2025-01-30,522.93,525.312,517.439,522.271,27472193
2025-01-31,526.136,530.727,520.414,521.513,38903373
2025-02-03,512.706,520.074,510.289,517.339,40641327
2025-02-04,517.858,524.328,517.459,523.689,26085580
2025-02-05,521.043,526.226,519.845,526.066,21165574
2025-02-06,526.575,529.021,524.959,528.812,19463424
2025-02-07,529.351,531.308,521.413,522.142,29649602
2025-02-10,526.435,529.568,525.966,528.462,20883868
2025-02-11,525.177,529.131,525.047,527.204,19354308
2025-02-12,521.523,528.402,521.173,527.514,25046642
2025-02-13,529.191,535.422,528.402,535.102,28757603
2025-02-14,535.207,538.038,534.873,537.349,17889199
2025-02-18,538.927,539.196,535.242,538.567,20595683
2025-02-19,537.768,540.005,535.662,538.717,19696177
2025-02-20,537.928,538.298,531.667,536.43,26590331
2025-02-21,537.579,537.599,524.928,525.297,47163951
2025-02-24,527.094,528.282,518.757,519.176,39326928
2025-02-25,518.467,518.547,508.682,512.556,49012978
2025-02-26,514.763,518.887,510.609,513.794,34508983
2025-02-27,517.359,518.297,499.306,499.525,52526148
2025-02-28,499.386,508.023,496.19,507.414,47725079
2025-03-03,510.759,512.276,492.845,496.31,44653669
2025-03-04,493.444,502.99,487.009,494.812,67976582
2025-03-05,495.461,502.88,490.529,501.263,46392778
2025-03-06,492.955,497.838,485.476,487.473,57660156
2025-03-07,486.435,492.546,479.815,491.058,54796287
2025-03-10,482.73,483.25,467.962,472.026,76782316
2025-03-11,471.647,478.092,466.315,470.898,68863271
2025-03-12,478.447,480.344,471.088,476.21,47041100
2025-03-13,475.541,475.571,465.736,467.643,46632759
2025-03-14,473.025,479.845,472.416,478.946,43627948
2025-03-17,478.896,485.117,477.089,482.051,41806581
2025-03-18,478.696,478.896,471.707,473.834,39130509
2025-03-19,476.1,484.608,474.163,480.174,40490602
2025-03-20,476.17,483.829,475.471,478.547,36835376
2025-03-21,473.374,480.893,472.201,480.124,42297832
2025-03-24,487.74,491.51,484.4,490.66,34567186
2025-03-25,491.39,493.62,490.42,493.46,26035241
2025-03-26,492.3,493.16,482.82,484.38,35043357
2025-03-27,482.41,486.579,480.25,481.62,33469817
2025-03-28,479.81,480.52,468.05,468.94,46363797
2025-03-31,461.92,469.86,457.33,468.92,53000303
2025-04-01,467.3,473.63,464.42,472.7,41156226
2025-04-02,466.12,479.56,465.86,476.15,49894489
2025-04-03,456.44,460.07,450.14,450.66,70456338
2025-04-04,438.14,440.37,422.67,422.67,117088441
2025-04-07,408.66,443.14,402.39,423.69,161556970
2025-04-08,438.16,443.138,409.79,416.06,101248060
2025-04-09,415.57,467.83,415.43,466,142876878
2025-04-10,453.56,455.59,432.63,446.18,108384092
2025-04-11,444.65,455.79,441.33,454.4,52483779
2025-04-14,464.46,465.05,452.63,457.48,43941179
2025-04-15,458.54,462.38,456.15,457.99,35404210
2025-04-16,449.03,452.62,437.76,444.18,48980552
2025-04-17,447.17,447.75,441.36,444.1,44837047
2025-04-21,438.23,439.08,427.93,433.11,44149313
2025-04-22,438.82,447.58,437.62,444.48,52304388
2025-04-23,458.17,463.38,452.88,454.56,55801136
2025-04-24,456.48,467.66,455.83,467.35,45956136
2025-04-25,466.97,473.09,465.39,472.56,38697063
2025-04-28,473.03,474.808,466.03,472.41,33550778
2025-04-29,470.17,476.424,469.59,475.53,30613120
