Date,Open,High,Low,Close,Volume
2016-01-04,4485.06,4497.85,4439.13,4497.85,382486207
2016-01-05,4512.04,4522.12,4466.05,4484.18,332306897
2016-01-06,4409.79,4467.55,4409.49,4443.98,373900000
2016-01-07,4349.14,4403.61,4303.66,4305.73,440101724
2016-01-08,4336.12,4362.47,4264.81,4270.78,394612069
2016-01-11,4300.97,4311.14,4217.63,4283.55,412260345
2016-01-12,4322.77,4353.19,4273.02,4333.72,370253448
2016-01-13,4352.65,4359.5,4177.3,4183.12,436758621
2016-01-14,4201.23,4308.25,4133.32,4272.97,442337931
2016-01-15,4123.87,4184.69,4085.79,4141.08,485970690
2016-01-19,4199.56,4202.04,4101.05,4147.07,412853448
2016-01-20,4078.23,4178.64,3992.91,4136.28,552436207
2016-01-21,4146.45,4200.35,4099.31,4142.6,422025862
2016-01-22,4226.44,4260.56,4209.24,4259.77,371265517
2016-01-25,4245.47,4268.11,4193.32,4196.53,349806897
2016-01-26,4211.93,4250.97,4177.85,4233.85,341582759
2016-01-27,4214.94,4226.09,4111.93,4128.86,364777586
2016-01-28,4197.2,4197.48,4116.5,4186.06,400398276
2016-01-29,4186.35,4279.17,4184.31,4279.17,449577586
2016-02-01,4254.41,4301.63,4238.2,4286.56,341955172
2016-02-02,4261.9,4264.81,4180.57,4193.1,376755172
2016-02-03,4213.67,4218.16,4099.24,4171.97,425205172
2016-02-04,4158.05,4200.99,4120.58,4167.77,379470690
2016-02-05,4150.35,4152.73,4008.45,4024.47,427462069
2016-02-08,3947.99,3979.09,3888.78,3960.67,465874138
2016-02-09,3903.93,4008.06,3902.74,3947.8,425136207
2016-02-10,3996.77,4045.48,3962.7,3966.28,422134483
2016-02-11,3910.57,3988.71,3902.86,3962.22,484884483
2016-02-12,3996.64,4022.12,3965.74,4019.19,341929310
2016-02-16,4077.33,4104.33,4049.88,4104.33,365158621
2016-02-17,4138.43,4204.63,4125.83,4199.1,395937931
2016-02-18,4212.22,4212.57,4146.1,4151.49,337218966
2016-02-19,4129.75,4175.08,4121.59,4164.09,328236207
2016-02-22,4203.6,4235.12,4199.93,4231.27,309313793
2016-02-23,4209.32,4217.99,4158.56,4162.54,306508621
2016-02-24,4116.02,4205.98,4088.12,4200.66,341065517
2016-02-25,4212.48,4241.25,4173.25,4241.06,287558621
2016-02-26,4273.59,4275.82,4227.29,4235.62,312917241
2016-02-29,4228.57,4263.31,4200.15,4201.12,356079310
2016-03-01,4238.08,4333.61,4225.93,4333.61,358646552
2016-03-02,4328.72,4335.43,4301.09,4334.39,329743103
2016-03-03,4330.4,4331.49,4296.32,4325.86,333843103
2016-03-04,4334.03,4356.34,4301.35,4329,374350000
2016-03-07,4303.81,4330.28,4271.57,4303.33,359377586
2016-03-08,4272.72,4308.84,4258.82,4265.51,343631034
2016-03-09,4281.09,4293.23,4258.07,4293.23,308543103
2016-03-10,4307.87,4335.33,4232.08,4286.97,333874138
2016-03-11,4337.13,4361.83,4320.55,4361.83,310653448
2016-03-14,4347.94,4378.35,4347.56,4367.33,278465517
2016-03-15,4354.38,4371.29,4339.86,4367.08,291796552
2016-03-16,4359.67,4416.11,4357.73,4404.2,307079310
2016-03-17,4389.8,4413.07,4377.01,4400.26,328825862
2016-03-18,4409.14,4420.8,4388.7,4410.83,487765517
2016-03-21,4403.02,4430.42,4400.43,4426.98,277453448
2016-03-22,4404.19,4450.74,4401.63,4437.62,275206897
2016-03-23,4431.53,4434.58,4395.25,4402.56,298729310
2016-03-24,4380.46,4405.94,4374.83,4405.53,274308621
2016-03-28,4414.92,4417.32,4393.09,4398.07,238103448
2016-03-29,4390.85,4471.76,4384.31,4467.72,311463793
2016-03-30,4494.7,4518.16,4481.85,4490.88,296175862
2016-03-31,4490.1,4504.11,4478.23,4483.65,305908621
2016-04-01,4461.77,4534.23,4452.2,4532.08,312456897
2016-04-04,4526.47,4533.37,4503.71,4511.7,294091379
2016-04-05,4479.77,4494.68,4465.05,4470.75,297587931
2016-04-06,4476.63,4544.56,4476.63,4543.78,303753448
2016-04-07,4518.76,4525.62,4459.72,4475.29,329127586
2016-04-08,4507.22,4515.9,4459.57,4474.92,273936207
2016-04-11,4496.43,4515.93,4458.66,4458.71,266472414
2016-04-12,4463.88,4503.86,4435.08,4496.04,303324138
2016-04-13,4526.95,4560.04,4524.46,4554.72,333870690
2016-04-14,4554.56,4569.52,4541.66,4554.62,283760345
2016-04-15,4550.43,4558.88,4531.12,4543.16,290481034
2016-04-18,4535.3,4570.58,4531.11,4569.31,288320690
2016-04-19,4573.21,4574.38,4516,4537.09,314525862
2016-04-20,4538.76,4562.33,4524.13,4540.44,307127586
2016-04-21,4540.75,4558.6,4522.86,4540.8,303136207
2016-04-22,4479.76,4502.39,4440.14,4474.19,348091379
2016-04-25,4459.42,4474.6,4453.08,4474.13,272805172
2016-04-26,4481.21,4490.06,4439.48,4452.97,314658621
2016-04-27,4413.96,4426.26,4381.17,4416.63,334272414
2016-04-28,4418.88,4447.17,4355.55,4363.99,372655172
2016-04-29,4367.49,4372.97,4307.1,4341.3,409734483
2016-05-02,4350.83,4386.98,4334.59,4381.31,324217241
2016-05-03,4349.07,4368.76,4329.76,4341.39,342127586
2016-05-04,4314.5,4328.22,4301.07,4312.02,336344828
