Date,Open,High,Low,Close
2024-01-02,1.10449,1.10496,1.09387,1.09414
2024-01-03,1.0942,1.09657,1.08938,1.09215
2024-01-04,1.0923,1.09722,1.09164,1.09476
2024-01-05,1.09471,1.09983,1.08777,1.09395
2024-01-08,1.09457,1.09788,1.09229,1.09507
2024-01-09,1.09519,1.09664,1.09108,1.0929
2024-01-10,1.09289,1.09745,1.09233,1.09726
2024-01-11,1.09727,1.09998,1.09306,1.09728
2024-01-12,1.09728,1.09869,1.09364,1.09514
2024-01-15,1.09497,1.09677,1.09337,1.09497
2024-01-16,1.09498,1.09511,1.08628,1.08768
2024-01-17,1.08759,1.08845,1.08447,1.08819
2024-01-18,1.08831,1.09066,1.08469,1.08741
2024-01-19,1.08755,1.08963,1.08659,1.08951
2024-01-22,1.08919,1.09094,1.08804,1.08819
2024-01-23,1.08819,1.09155,1.08218,1.08538
2024-01-24,1.0854,1.0932,1.08516,1.08858
2024-01-25,1.08859,1.09003,1.08225,1.08471
2024-01-26,1.08469,1.08858,1.08131,1.08545
2024-01-29,1.08463,1.08501,1.07961,1.08338
2024-01-30,1.08345,1.08568,1.08121,1.08439
2024-01-31,1.0844,1.08869,1.07953,1.0814
2024-02-01,1.0814,1.08755,1.07801,1.08729
2024-02-02,1.08731,1.08976,1.07806,1.07934
2024-02-05,1.07817,1.07862,1.07236,1.07435
2024-02-06,1.07432,1.07625,1.07232,1.07546
2024-02-07,1.07543,1.0784,1.07543,1.07725
2024-02-08,1.0772,1.07888,1.07419,1.07766
2024-02-09,1.07772,1.07945,1.07624,1.07864
2024-02-12,1.07853,1.08055,1.07561,1.07727
2024-02-13,1.07725,1.07946,1.07009,1.07107
2024-02-14,1.07107,1.07345,1.06951,1.07274
2024-02-15,1.07282,1.07848,1.07249,1.0773
2024-02-16,1.0773,1.07876,1.07323,1.07767
2024-02-19,1.07726,1.07894,1.07623,1.07793
2024-02-20,1.07792,1.08389,1.07619,1.08096
2024-02-21,1.08097,1.08236,1.07902,1.08199
2024-02-22,1.08198,1.0887,1.08031,1.0822
2024-02-23,1.0823,1.08395,1.08121,1.08224
2024-02-26,1.08226,1.08597,1.0813,1.08505
2024-02-27,1.08503,1.0866,1.08333,1.08451
2024-02-28,1.08444,1.08459,1.07969,1.08387
2024-02-29,1.08388,1.0856,1.0796,1.08053
2024-03-01,1.08053,1.08431,1.07984,1.08375
2024-03-04,1.08416,1.08669,1.08381,1.08542
2024-03-05,1.08561,1.0876,1.08419,1.0857
2024-03-06,1.08567,1.09154,1.08424,1.08983
2024-03-07,1.08983,1.09493,1.08681,1.09472
2024-03-08,1.09474,1.09814,1.09211,1.09365
2024-03-11,1.09378,1.09483,1.09148,1.09254
2024-03-12,1.09254,1.0944,1.09029,1.09277
2024-03-13,1.09276,1.0964,1.09205,1.09489
2024-03-14,1.09489,1.09548,1.08809,1.08843
2024-03-15,1.08842,1.08998,1.08733,1.08886
2024-03-18,1.08867,1.09064,1.08662,1.0872
2024-03-19,1.08721,1.08767,1.0835,1.08657
2024-03-20,1.08657,1.09325,1.08368,1.09324
2024-03-21,1.09324,1.09428,1.08557,1.0862
2024-03-22,1.08619,1.08682,1.08021,1.08076
2024-03-25,1.08086,1.08425,1.08024,1.08372
2024-03-26,1.08372,1.08642,1.08245,1.08328
2024-03-27,1.08328,1.08392,1.08105,1.08137
